,Naive (per-dummy),One-hot-aware (per-variable)
TabNet_native,0.08252301548961301,0.036863109311492205
SHAP_Kernel,0.5098414465431695,0.5391732789289807
SHAP_Gradient,0.2020944214683736,0.28877053366620875
LIME,0.10218092949409564,0.15567532771799716
Integrated_Gradients,0.35130767449736594,0.3954955322854221
